fpr,tpr,threshold
0.01889962200755985,0.5395799676898223,0.698141374850748
0.019739605207895843,0.5395799676898223,0.6893532869491356
0.019739605207895843,0.5411954765751211,0.6886799447528817
0.02015959680806384,0.5411954765751211,0.6859032539932012
0.02015959680806384,0.5476575121163166,0.6841886685401208
0.02141957160856783,0.5476575121163166,0.678450052282383
0.02141957160856783,0.5541195476575121,0.6714127958200232
0.022259554808903823,0.5541195476575121,0.6680533070613249
0.022259554808903823,0.5573505654281099,0.6661229410398327
0.02267954640907182,0.5573505654281099,0.6647801514621503
0.02267954640907182,0.567043618739903,0.6592514853654002
0.023099538009239817,0.567043618739903,0.6587408472450691
0.023099538009239817,0.5702746365105008,0.6532270517226242
0.02393952120957581,0.5702746365105008,0.6454757093065923
0.02393952120957581,0.5767366720516963,0.6424116865365974
0.024359512809743807,0.5767366720516963,0.6423881029389088
0.024359512809743807,0.5831987075928917,0.6386836650319918
0.024779504409911803,0.5831987075928917,0.6370227898671759
0.024779504409911803,0.5880452342487884,0.6353869622702253
0.0251994960100798,0.5880452342487884,0.6309657414685133
0.0251994960100798,0.5896607431340872,0.6305035096555468
0.025619487610247797,0.5896607431340872,0.629978859616432
0.025619487610247797,0.592891760904685,0.6282696147774067
0.026039479210415793,0.592891760904685,0.62820221834238
0.026039479210415793,0.5945072697899838,0.6277601508065653
0.026879462410751787,0.5945072697899838,0.6243839216048659
0.026879462410751787,0.5977382875605816,0.6233899109997155
0.028139437211255777,0.5977382875605816,0.6215727533408503
0.028139437211255777,0.5993537964458805,0.616477436832497
0.028559428811423773,0.5993537964458805,0.6144261787864536
0.028559428811423773,0.6155088852988692,0.600480276723064
0.02981940361192776,0.6155088852988692,0.6000148038296048
0.02981940361192776,0.617124394184168,0.5989106039156503
0.030659386812263753,0.617124394184168,0.5965000902357785
0.030659386812263753,0.6187399030694669,0.5932061676798868
0.03107937841243175,0.6187399030694669,0.5923031913895694
0.03107937841243175,0.6203554119547657,0.5911181166051519
0.031919361612767747,0.6203554119547657,0.5907557381556638
0.031919361612767747,0.6235864297253635,0.5895586509659974
0.03317933641327173,0.6235864297253635,0.5846229037813855
0.03317933641327173,0.6268174474959612,0.5811193371159118
0.034019319613607726,0.6268174474959612,0.5762078493206148
0.034019319613607726,0.6365105008077544,0.5583836037667539
0.036539269214615706,0.6365105008077544,0.5552454418730355
0.036539269214615706,0.6413570274636511,0.5510465956328882
0.0377992440151197,0.6413570274636511,0.5423143348025281
0.0377992440151197,0.6429725363489499,0.5417188287886012
0.03863922721545569,0.6429725363489499,0.5376966115994124
0.03863922721545569,0.6445880452342488,0.5374033884397703
0.039059218815623686,0.6445880452342488,0.5372216952451251
0.039059218815623686,0.6478190630048465,0.5366950184626349
0.03989920201595968,0.6478190630048465,0.5341911405440212
0.03989920201595968,0.6494345718901454,0.5337299180801406
0.04115917681646367,0.6494345718901454,0.5292176568487496
0.04115917681646367,0.6526655896607432,0.5273247076640069
0.04283914321713566,0.6526655896607432,0.5250549393167424
0.04283914321713566,0.654281098546042,0.5227447356257425
0.04325913481730365,0.654281098546042,0.5215615703655846
0.04325913481730365,0.6558966074313409,0.5188676508829109
0.044099118017639646,0.6558966074313409,0.5152420015070576
0.044099118017639646,0.6591276252019386,0.5113541367827188
0.04577908441831163,0.6591276252019386,0.5044137928876495
0.04577908441831163,0.6607431340872375,0.5037374752116871
0.046619067618647626,0.6607431340872375,0.5022283622529014
